,File_path,Emotion
0,../Dataset/english_words_sentences/10_M_nonNative/train/1001_DFA_ANG_XX.wav,angry
1,../Dataset/english_words_sentences/10_M_nonNative/train/1001_DFA_DIS_XX.wav,disgust
2,../Dataset/english_words_sentences/10_M_nonNative/train/1001_DFA_FEA_XX.wav,fear
3,../Dataset/english_words_sentences/10_M_nonNative/train/1001_DFA_HAP_XX.wav,happy
4,../Dataset/english_words_sentences/10_M_nonNative/train/1001_DFA_NEU_XX.wav,neutral
5,../Dataset/english_words_sentences/10_M_nonNative/train/1001_DFA_SAD_XX.wav,sad
6,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_ANG_HI.wav,angry
7,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_ANG_LO.wav,angry
8,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_ANG_MD.wav,angry
9,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_DIS_HI.wav,disgust
10,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_DIS_LO.wav,disgust
11,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_DIS_MD.wav,disgust
12,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_FEA_HI.wav,fear
13,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_FEA_LO.wav,fear
14,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_FEA_MD.wav,fear
15,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_HAP_HI.wav,happy
16,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_HAP_LO.wav,happy
17,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_HAP_MD.wav,happy
18,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_NEU_XX.wav,neutral
19,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_SAD_HI.wav,sad
20,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_SAD_LO.wav,sad
21,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IEO_SAD_MD.wav,sad
22,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IOM_ANG_XX.wav,angry
23,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IOM_DIS_XX.wav,disgust
24,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IOM_FEA_XX.wav,fear
25,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IOM_HAP_XX.wav,happy
26,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IOM_NEU_XX.wav,neutral
27,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IOM_SAD_XX.wav,sad
28,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITH_ANG_XX.wav,angry
29,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITH_DIS_XX.wav,disgust
30,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITH_FEA_XX.wav,fear
31,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITH_HAP_XX.wav,happy
32,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITH_NEU_XX.wav,neutral
33,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITH_SAD_XX.wav,sad
34,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITS_ANG_XX.wav,angry
35,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITS_DIS_XX.wav,disgust
36,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITS_FEA_XX.wav,fear
37,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITS_HAP_XX.wav,happy
38,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITS_NEU_XX.wav,neutral
39,../Dataset/english_words_sentences/10_M_nonNative/train/1001_ITS_SAD_XX.wav,sad
40,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWL_ANG_XX.wav,angry
41,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWL_DIS_XX.wav,disgust
42,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWL_FEA_XX.wav,fear
43,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWL_HAP_XX.wav,happy
44,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWL_NEU_XX.wav,neutral
45,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWL_SAD_XX.wav,sad
46,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWW_ANG_XX.wav,angry
47,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWW_DIS_XX.wav,disgust
48,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWW_FEA_XX.wav,fear
49,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWW_HAP_XX.wav,happy
50,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWW_NEU_XX.wav,neutral
51,../Dataset/english_words_sentences/10_M_nonNative/train/1001_IWW_SAD_XX.wav,sad
52,../Dataset/english_words_sentences/10_M_nonNative/train/1001_MTI_ANG_XX.wav,angry
53,../Dataset/english_words_sentences/10_M_nonNative/train/1001_MTI_DIS_XX.wav,disgust
54,../Dataset/english_words_sentences/10_M_nonNative/train/1001_MTI_FEA_XX.wav,fear
55,../Dataset/english_words_sentences/10_M_nonNative/train/1001_MTI_HAP_XX.wav,happy
56,../Dataset/english_words_sentences/10_M_nonNative/train/1001_MTI_NEU_XX.wav,neutral
57,../Dataset/english_words_sentences/10_M_nonNative/train/1001_MTI_SAD_XX.wav,sad
58,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TAI_ANG_XX.wav,angry
59,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TAI_DIS_XX.wav,disgust
60,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TAI_FEA_XX.wav,fear
61,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TAI_HAP_XX.wav,happy
62,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TAI_NEU_XX.wav,neutral
63,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TAI_SAD_XX.wav,sad
64,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TIE_ANG_XX.wav,angry
65,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TIE_DIS_XX.wav,disgust
66,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TIE_FEA_XX.wav,fear
67,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TIE_HAP_XX.wav,happy
68,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TIE_NEU_XX.wav,neutral
69,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TIE_SAD_XX.wav,sad
70,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TSI_ANG_XX.wav,angry
71,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TSI_DIS_XX.wav,disgust
72,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TSI_FEA_XX.wav,fear
73,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TSI_HAP_XX.wav,happy
74,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TSI_NEU_XX.wav,neutral
75,../Dataset/english_words_sentences/10_M_nonNative/train/1001_TSI_SAD_XX.wav,sad
76,../Dataset/english_words_sentences/10_M_nonNative/train/1001_WSI_ANG_XX.wav,angry
77,../Dataset/english_words_sentences/10_M_nonNative/train/1001_WSI_DIS_XX.wav,disgust
78,../Dataset/english_words_sentences/10_M_nonNative/train/1001_WSI_FEA_XX.wav,fear
79,../Dataset/english_words_sentences/10_M_nonNative/train/1001_WSI_HAP_XX.wav,happy
80,../Dataset/english_words_sentences/10_M_nonNative/train/1001_WSI_NEU_XX.wav,neutral
81,../Dataset/english_words_sentences/10_M_nonNative/train/1001_WSI_SAD_XX.wav,sad
82,../Dataset/english_words_sentences/10_M_nonNative/train/1002_DFA_ANG_XX.wav,angry
83,../Dataset/english_words_sentences/10_M_nonNative/train/1002_DFA_DIS_XX.wav,disgust
84,../Dataset/english_words_sentences/10_M_nonNative/train/1002_DFA_FEA_XX.wav,fear
